elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,message_type,topic,sequence_number,sysid,compid,interarrival_ms
62.649345,2026-09-01T20:53:34.313531+00:00,1788296014.313531399,,1788296011.706171989,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,515.627
63.130307,2026-09-01T20:53:34.794492+00:00,1788296014.794492483,,1788296012.230083942,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,480.960
63.645214,2026-09-01T20:53:35.309398+00:00,1788296015.309398413,,1788296012.635015965,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,514.907
64.133402,2026-09-01T20:53:35.797588+00:00,1788296015.797587872,,1788296013.208920002,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,488.189
64.669771,2026-09-01T20:53:36.333957+00:00,1788296016.333956718,,1788296013.719834089,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,536.364
65.175482,2026-09-01T20:53:36.839667+00:00,1788296016.839666605,,1788296014.153760910,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.715
65.744470,2026-09-01T20:53:37.408655+00:00,1788296017.408655405,,1788296014.706667900,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,568.985
66.229753,2026-09-01T20:53:37.893939+00:00,1788296017.893939257,,1788296015.230580091,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,485.278
66.735245,2026-09-01T20:53:38.399430+00:00,1788296018.399430037,,1788296015.672506094,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.494
67.257701,2026-09-01T20:53:38.921886+00:00,1788296018.921885967,,1788296016.220413923,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,522.463
67.766804,2026-09-01T20:53:39.430989+00:00,1788296019.430989265,,1788296016.635344028,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,509.103
68.265508,2026-09-01T20:53:39.929694+00:00,1788296019.929693699,,1788296017.183252096,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,498.702
68.791083,2026-09-01T20:53:40.455268+00:00,1788296020.455268383,,1788296017.736159086,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,525.576
69.299804,2026-09-01T20:53:40.963990+00:00,1788296020.963989973,,1788296018.129092932,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,508.714
69.837928,2026-09-01T20:53:41.502115+00:00,1788296021.502114534,,1788296018.717993975,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,538.124
