time_s,node_id,x_m,y_m,z_m
7.699842,1,-3.8596549034118652,-12.94802474975586,59.990150451660156
7.699842,2,-5.634702205657959,-6.6448845863342285,40.10407257080078
7.699842,3,0.9055803418159485,-52.153690338134766,49.95601272583008
7.800096,0,-70.0,-7.0,2.9000000953674316
7.800096,1,-2.8320558071136475,-12.817985534667969,59.988948822021484
7.800096,2,-4.6466145515441895,-6.333303928375244,40.101219177246094
7.800096,3,1.831526756286621,-52.62101364135742,49.95911407470703
7.899822,0,-70.0,-7.0,2.9000000953674316
7.899822,1,-1.8054301738739014,-12.684724807739258,59.990055084228516
7.899822,2,-3.6588292121887207,-6.018726348876953,40.100006103515625
7.899822,3,2.7554540634155273,-53.087432861328125,49.96200180053711
7.999890,0,-70.0,-7.0,2.9000000953674316
7.999890,1,-0.7786558270454407,-12.553987503051758,59.98959732055664
7.999890,2,-2.667401075363159,-5.707672595977783,40.098350524902344
7.999890,3,3.679050922393799,-53.55137252807617,49.962989807128906
8.099849,0,-70.0,-7.0,2.9000000953674316
8.099849,1,0.24856047332286835,-12.42508602142334,59.989967346191406
8.099849,2,-1.6735934019088745,-5.397634983062744,40.09765625
8.099849,3,4.601804733276367,-54.01369857788086,49.963905334472656
8.199873,0,-70.0,-7.0,2.9000000953674316
8.199873,1,1.2763803005218506,-12.290946006774902,59.99320983886719
8.199873,2,-0.6795819401741028,-5.087612628936768,40.099918365478516
8.199873,3,5.52453088760376,-54.47698211669922,49.96346664428711
8.299827,0,-70.0,-7.0,2.9000000953674316
8.299827,1,2.30373215675354,-12.160655975341797,59.996952056884766
8.299827,2,0.314893901348114,-4.776110649108887,40.10052490234375
8.299827,3,6.446384429931641,-54.94266128540039,49.962432861328125
8.400130,0,-70.0,-7.0,2.9000000953674316
8.400130,1,3.3314919471740723,-12.024898529052734,59.998199462890625
8.400130,2,1.3115381002426147,-4.4683966636657715,40.101043701171875
8.400130,3,7.367670059204102,-55.408939361572266,49.96291732788086
8.499918,0,-70.0,-7.0,2.9000000953674316
8.499918,1,4.360295295715332,-11.89060115814209,59.999046325683594
